Borough,tractID,pop2010,popDens2010
Bronx,037400,"3,441",124.1
Bronx,037504,"3,677",83.4
Bronx,037600,"2,148",62.2
Bronx,037800,"3,048",68.8
Bronx,037900,"5,093",95.0
Bronx,038000,"4,585",107.2
Bronx,038100,"6,382",86.2
Bronx,038200,"2,596",173.1
Bronx,038301,"4,797",66.9
Bronx,038302,"6,106",204.1
Bronx,038500,"4,758",170.3
Bronx,038600,"7,409",100.8
Bronx,038700,"3,216",73.2
Bronx,038800,"2,606",71.0
Bronx,038900,"5,325",71.0
Bronx,039000,"2,975",124.1
Bronx,039100,"6,992",66.3
Bronx,039200,"1,781",137.1
Bronx,039300,"8,143",75.0
Bronx,039400,"4,573",180.6
Bronx,039500,"4,146",127.5
Bronx,039600,"3,756",40.9
Bronx,039700,"3,702",68.1
Bronx,039800,"3,090",28.7
Bronx,039901,"5,228",61.9
Bronx,039902,"5,279",138.3
Bronx,040100,"4,593",174.2
Bronx,040302,"4,386",109.1
Bronx,040303,"4,478",282.8
Bronx,040304,"3,794",208.6
Bronx,040400,"3,016",228.0
Bronx,040501,"4,397",56.7
Bronx,040502,"6,863",219.3
Bronx,040600,"3,490",196.6
Bronx,040701,"3,347",63.2
Bronx,040702,"6,652",232.6
Bronx,040800,"4,263",148.0
Bronx,040900,"3,637",136.9
Bronx,041100,"2,931",17.9
Bronx,041300,"7,384",98.2
Bronx,041400,"5,027",172.0
Bronx,041500,"5,461",38.9
Bronx,041800,"3,598",162.3
Bronx,041900,"6,734",54.1
Bronx,042000,"3,850",83.4
Bronx,042100,"5,922",103.5
Bronx,042200,"3,086",96.3
Bronx,042300,"4,100",71.6
Bronx,042400,"2,481",91.6
Bronx,042500,"6,793",57.3
Bronx,042600,"6,387",94.5
Bronx,042800,"2,173",50.9
Bronx,042901,"3,420",52.0
Bronx,042902,"3,845",135.3
Bronx,043000,"2,898",161.7
Bronx,043100,"9,680",56.9
Bronx,043400,"3,592",182.7
Bronx,043500,39,41.4
Bronx,043600,"2,032",0.0
Bronx,044200,"3,555",53.2
Bronx,044400,"3,878",60.2
Bronx,044800,"2,026",43.0
Bronx,044901,"1,818",48.8
Bronx,044902,"1,949",46.5
Bronx,045101,"1,656",50.3
Bronx,045102,"1,894",38.3
Bronx,045600,"2,896",37.0
Bronx,045800,"6,123",14.2
Bronx,046000,"2,741",103.4
Bronx,046201,"26,588",38.5
Bronx,046202,"8,277",51.7
Bronx,048400,"3,598",35.4
Bronx,050400,39,20.8
Bronx,051600,"4,362",0.0
Brooklyn,000100,"4,338",10.8
Brooklyn,000200,"1,470",78.6
Brooklyn,000301,"4,259",20.4
Brooklyn,000501,"4,247",80.2
Brooklyn,000502,"2,512",205.3
Brooklyn,000700,"3,359",105.0
Brooklyn,000900,"4,172",78.0
Brooklyn,001100,84,104.6
Brooklyn,001300,"2,275",2.0
Brooklyn,001500,"3,521",31.5
Brooklyn,001800,"2,105",46.6
Brooklyn,002000,"1,672",3.6
Brooklyn,002100,"3,604",43.9
Brooklyn,002200,"4,613",29.5
Brooklyn,002300,"4,247",55.6
